MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,82.01737431,13398.07935,Grvl,,IR1,Lvl,AllPub,Inside,Mod,NWAmes,RRNe,Feedr,Twnhs,1Story,5,6,2001.801024,1961.568055,Gable,Roll,Plywood,Plywood,None,5.066282816,TA,TA,CBlock,Gd,TA,Av,ALQ,1018.269557,Rec,116.4856517,300.8713043,1492.595069,GasA,Gd,Y,SBrkr,1411.26558,0,8.919153887,1485.181346,0,0,2,0,3,1,TA,7,Min1,1,TA,Attchd,1963.084559,Unf,2,426.161056,TA,Fa,Y,225.75511,0,0,0,187.013049,15.90349771,,,,339.6608714,2,2007,WD,Alloca,175433.6873
30,RM,,10781.53659,Pave,,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922.001064,1962.659604,Gable,CompShg,ImStucc,Wd Sdng,None,103.3690748,Fa,Fa,BrkTil,,Po,Gd,BLQ,462.3404232,Unf,220.1208863,313.4941615,892.9894725,GasW,Gd,N,FuseA,981.9868857,53.28507232,0,1081.342721,1,0,0,1,1,1,Gd,4,Maj1,0,,,,,0,0,,,Y,0,0.50136122,0,30.14321831,0,0,,,,34.94539774,3,2009,WD,Partial,80346.89662
120,RH,52.62372668,6518.38512,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,1960.02009,2024.46929,Hip,CompShg,Wd Sdng,VinylSd,BrkFace,90.05066815,Gd,TA,PConc,Gd,TA,No,Unf,67.80137669,Unf,0,1382.054629,1146.969241,GasA,Ex,Y,,1656.57671,0,13.48053913,2162.904578,0,0,2,0,2,1,Gd,7,Typ,1,TA,Attchd,2021.201359,Fin,3,706.6066758,Gd,TA,Y,111.6961659,40.33423267,25.3752875,25.56152289,0,0,,GdWo,,0.458605043,6,2009,WD,Normal,167198.0105
20,RL,86.8726513,53817.69,Pave,,IR1,Low,AllPub,FR3,Sev,Veenker,Norm,Norm,1Fam,1Story,9,5,1982.584106,2005.67884,Gable,WdShngl,WdShing,Wd Shng,None,0,Gd,Ex,CBlock,Ex,Gd,Gd,GLQ,1651.214644,Unf,0,252.6551551,1907.180089,GasA,TA,Y,SBrkr,2071.16913,0,6.261528814,1850.984324,2,0,0,1,0,1,Gd,5,Typ,1,Fa,Attchd,1985.514681,Fin,3,1090.719972,TA,TA,Y,890.9495831,60.53679298,19.9821726,11.96387262,0,0,,,,226.8338481,11,2006,WD,Normal,335207.6703
20,RH,,10807.76005,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,1Story,7,5,1993.444768,2004.282385,Flat,CompShg,VinylSd,VinylSd,Stone,224.4803347,Gd,TA,PConc,Gd,TA,No,GLQ,1058.889917,Unf,0,788.2714873,1693.697748,Floor,Ex,Y,SBrkr,1702.728405,0,0,1810.459252,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007.033086,Unf,3,1038.488202,TA,,Y,36.99077496,173.8914854,1.315503821,1.866889383,0,0,,MnWw,,220.0924741,2,2006,WD,Normal,193534.7961
190,RM,49.0465116,12727.58733,Pave,,Reg,Lvl,AllPub,Inside,Sev,OldTown,Norm,Norm,1Fam,2.5Unf,5,5,1907.079594,1974.373372,Gable,WdShngl,Wd Sdng,Brk Cmn,None,17.1952015,Gd,TA,PConc,TA,TA,No,LwQ,394.3109835,Unf,0,431.4784623,543.6610946,GasA,Gd,Y,FuseA,832.7886592,168.8162705,0,1266.002538,0,0,1,0,2,1,TA,6,Typ,0,,Detchd,1941.227851,Unf,1,241.1217678,Fa,Fa,Y,0,0,176.6076926,0,12.1975361,0,,,,324.6030135,3,2007,WD,Normal,140601.694
20,RL,96.74789328,6437.746731,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,5,1951.774391,1958.57036,Hip,CompShg,VinylSd,VinylSd,None,68.6359406,TA,TA,CBlock,TA,TA,No,Rec,317.6940402,LwQ,314.209492,459.8257404,1186.34441,GasA,TA,Y,FuseA,1013.140689,0,32.85990846,1280.724599,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1969.69901,RFn,1,215.956145,Fa,Ex,Y,0,0,0,0,16.50428409,13.92480201,,GdWo,,0,5,2007,WD,Normal,93844.46987
75,RL,92.91100541,11522.32772,Pave,,Reg,Lvl,NoSeWa,CulDSac,Sev,IDOTRR,Norm,RRAe,1Fam,1Story,5,3,1964.910894,1975.831008,Hip,CompShg,HdBoard,HdBoard,BrkCmn,255.5183855,Gd,TA,CBlock,TA,TA,No,BLQ,527.4441924,Unf,69.65285797,567.4035837,1305.683952,GasA,TA,Y,SBrkr,1321.360381,0,0,1533.257121,0,0,1,0,2,1,TA,6,Typ,0,,Attchd,1968.320873,Unf,2,358.0633064,TA,TA,Y,72.91789877,26.72959724,0,8.579512937,0,0,Ex,GdWo,,0,12,2006,WD,Abnorml,133281.825
40,RL,,33103.15596,Pave,,IR1,Lvl,AllPub,Inside,Sev,ClearCr,Norm,RRNn,1Fam,1Story,7,6,1973.973216,1973.794861,Shed,WdShake,Plywood,Plywood,None,9.675855109,Fa,TA,PConc,Gd,Gd,Av,GLQ,1031.093273,Rec,0,74,1380.501007,GasA,TA,Y,SBrkr,1589.034959,192,0,1688.237828,2,0,0,1,0,1,Gd,4,Mod,1,TA,Attchd,1989.379177,Fin,2,501.1829084,Po,TA,Y,281.6062663,0,0,22.31383436,0,4.994312567,Fa,,,364.7341767,4,2010,WD,Normal,286080.239
120,RL,49.00721163,7096.854728,Pave,,Reg,HLS,AllPub,Inside,Gtl,SWISU,Norm,Norm,TwnhsE,1Story,6,5,1996.747285,1977.42363,Gable,CompShg,Plywood,Brk Cmn,None,19.1426053,TA,TA,Stone,Gd,TA,No,BLQ,387.4279562,BLQ,111.6125863,299.0860843,1236.234776,GasA,TA,Y,SBrkr,1141.728916,376.665382,0,989.3954679,0,0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1972.521147,Unf,1,350.9382699,TA,TA,Y,125.7039355,0,51.51120714,23.19751463,0,7.355305451,,,,0,5,2010,WD,Normal,197738.5082
20,RL,73.8639456,8172.682323,Grvl,,Reg,Bnk,AllPub,Inside,Mod,CollgCr,Artery,Norm,1Fam,1Story,5,5,1985.761612,1991.61981,Gable,CompShg,HdBoard,HdBoard,BrkFace,21.31942811,TA,TA,Wood,Gd,TA,No,Rec,710.3065084,Unf,7.300546707,415.4062021,1033.691926,GasA,TA,Y,SBrkr,1054.751247,106.9979836,20.11514281,767.1061026,0,0,2,0,3,1,TA,5,Typ,0,,,,,0,0,,,Y,112.3932607,23.95556376,0,0,0,0,,,,199.0714559,8,2009,ConLw,Alloca,121413.8669
190,RM,44.65544181,3477.20358,Pave,,IR3,Lvl,AllPub,FR2,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,6,1861.31502,1955.73722,Gable,CompShg,VinylSd,AsbShng,None,0,TA,TA,Slab,TA,TA,No,Unf,541.6685217,Unf,141.8711535,804.3742796,736.6750086,GasA,TA,Y,SBrkr,1304.324643,979.9320484,5.911409679,2213.296914,0,0,2,0,4,2,TA,11,Typ,0,,Detchd,1943.483281,Unf,2,383.6612392,Po,TA,N,0,0,106.3037396,0.499809952,0,0,,,,9.67168826,4,2010,ConLI,Normal,129492.7616
120,RL,9.364404126,5389,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2013.73821,2010.972472,Gable,CompShg,CemntBd,Wd Sdng,BrkFace,109.7729786,Gd,TA,PConc,Gd,TA,No,Rec,1197.946226,Unf,57.76185843,404.0715678,1680.83435,GasA,Ex,Y,SBrkr,1552.156102,302.4926656,43.91364945,2465.051542,1,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,1994.259513,Fin,2,702.2851492,TA,TA,Y,197.3629256,95.89924717,0,8.089149544,15.19341122,27.7842358,Gd,,,0,3,2010,Con,Normal,263396.7201
20,RL,89.11849198,12456,Pave,,IR3,Lvl,AllPub,CulDSac,Gtl,ClearCr,Norm,Norm,1Fam,1Story,10,5,2014.982906,2007.600549,Hip,CompShg,CemntBd,CmentBd,Stone,254.2878257,Ex,TA,PConc,Ex,TA,Gd,GLQ,1393.496566,Unf,0,266.7239989,1823.358012,GasA,Ex,N,SBrkr,1911.617431,116.0645632,38.12393794,2084.638734,1,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2035.839367,Unf,3,921.2995462,TA,TA,Y,324.9391649,25.53405608,0,0,0,25.28054677,,,Gar2,63.87213217,7,2009,COD,Normal,369837.0351
45,RH,60.91724383,9942.473297,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1927.147334,1947.38023,Gable,CompShg,Wd Sdng,Wd Sdng,None,58.4133891,TA,TA,BrkTil,Fa,,No,Unf,28.80285706,Unf,102.5849183,1007.160302,595.4571677,GasA,TA,N,FuseA,712.405881,0,0,1235.77855,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1956.49188,Unf,2,312.6584994,Fa,Fa,N,53.23193767,0,29.67907511,0,6.713580708,0,,,,0,10,2009,WD,Normal,41754.34543
60,RL,77.97201602,11141.18875,Grvl,,Reg,Low,AllPub,Inside,Mod,NAmes,Norm,Feedr,1Fam,2Story,6,8,1954.487361,2004.538361,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,409.061957,Gd,TA,CBlock,TA,Gd,Gd,BLQ,756.4774529,Rec,84.65740043,124.4627142,766.8463623,GasA,Gd,Y,SBrkr,910.256389,947.9861615,0,2052.136103,0,0,2,1,3,1,Ex,7,Maj2,1,Fa,Attchd,1962.921608,RFn,2,421.0852966,Ex,TA,Y,228.6818575,113.6322631,0,13.73743333,0,0,,MnWw,,412.1407925,7,2007,WD,Normal,174339.018
70,RM,69.88771375,9403.980297,Pave,,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,RRNn,Norm,TwnhsE,2Story,6,8,1935.026677,1984.88767,Gable,CompShg,Wd Sdng,Wd Sdng,None,73.591356,TA,TA,BrkTil,Fa,Fa,Av,Unf,0,Unf,0,553.3747842,1039.731763,GasA,Ex,Y,SBrkr,532.7797506,653.8420021,29.41348726,1108.698266,0,0,2,0,3,1,TA,6,Maj1,0,,Detchd,1918.831313,Fin,2,338.4835708,TA,Fa,Y,33.50326107,0,76.52364146,0,0,4.030725702,,MnWw,,0,6,2008,WD,Normal,108399.7806
20,RL,69.22123128,10778.00298,Pave,,IR3,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,1998.220505,1997.03758,Gable,Membran,VinylSd,VinylSd,BrkFace,54.49192788,Fa,TA,PConc,TA,TA,Mn,Unf,60.81752723,Unf,42.15289661,1307.485171,1510.86795,GasA,Ex,Y,SBrkr,1370.353223,0,2.045819992,1287.249641,0,0,2,0,3,1,TA,6,Maj2,0,,Attchd,2010.821644,Fin,2,560.102628,TA,TA,Y,83.15742988,48.77850352,23.50229729,0,31.24706888,6.3420438,,GdPrv,Shed,0,12,2007,WD,AdjLand,256822.6627
60,RL,108.0566601,9606.805494,Pave,,IR3,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Feedr,1Fam,2Story,9,5,2027.750889,2033.002841,Flat,CompShg,VinylSd,VinylSd,Stone,821.9440727,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,90.61503971,1713.487097,1997.912765,Wall,Ex,Y,SBrkr,1998.241971,1350.3575,0,2657.269475,0,0,3,1,4,1,Ex,11,Typ,2,Ex,BuiltIn,2014.036247,Fin,3,710.5959735,Fa,TA,Y,144,49.9821262,0,7.962811073,49.19051262,0,,MnPrv,,462.1089089,7,2009,New,Partial,460548.4521
160,RM,16.92778071,1920,Pave,,Reg,Lvl,AllPub,FR2,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1976.07103,1975.340737,Gable,CompShg,HdBoard,HdBoard,BrkFace,475.8437245,TA,TA,PConc,Fa,TA,No,ALQ,499.6150851,Unf,24.14312014,410.8556745,994.3968264,GasA,Ex,Y,Mix,984.507424,471.6741384,1.307705679,1242.754673,1,0,1,1,2,1,TA,6,Min1,0,,Detchd,1962.887452,Fin,2,350.3826927,,TA,Y,329.0920448,56.83483337,0,19.69196167,16.9169535,0,,,,0,8,2007,WD,Normal,146193.1904
75,RM,90.50743937,12921.68422,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Feedr,Norm,Twnhs,2.5Unf,5,5,1896.720557,1972.907816,Hip,CompShg,AsbShng,AsbShng,None,68.14749646,TA,TA,PConc,TA,TA,No,LwQ,0,Unf,4.761345004,695.8861072,475.5494048,GasA,TA,N,FuseA,1037.342907,910.6979432,2.670580442,1912.273326,0,0,2,0,2,3,TA,11,Typ,0,,CarPort,1925.983126,Unf,2,395.8153594,Fa,Po,N,55.33247906,179.6782503,25.07997526,18.18164351,0,0,,MnPrv,Shed,0,11,2009,WD,Abnorml,30793.52603
160,RM,15.95636449,5448.09921,Grvl,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,Twnhs,2Story,6,7,1977.250211,1959.01703,Gable,CompShg,HdBoard,HdBoard,Stone,225.4461885,TA,TA,CBlock,TA,TA,No,BLQ,317,Unf,75.13570633,355,966.8340169,Grav,Gd,Y,FuseP,395.631248,82.7423865,0,1190.100419,0,1,1,1,3,1,TA,7,Typ,0,,Detchd,1989.442612,Unf,1,273.841962,TA,Ex,Y,9.431169714,58.12186219,37.71451899,24.32572125,0,0,Fa,,,0,5,2006,WD,Normal,98227.87603
20,FV,65.78468335,9652.817091,Pave,,IR1,Lvl,AllPub,FR3,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1975.375103,1985.917609,Hip,Tar&Grv,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Gd,ALQ,597.8370003,Unf,75.84295903,531.5162003,953.36074,GasA,TA,Y,SBrkr,734.1586255,0,0,1311.951627,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1972.651233,,1,401.8589038,,TA,Y,113.7853021,0,20.04750335,9.276351828,0,13.13691364,Fa,,,36.21451306,5,2008,ConLD,Normal,149343.4439
190,RL,33.7569676,8212.818183,Grvl,,IR3,Lvl,AllPub,FR2,Mod,BrkSide,Norm,RRAn,TwnhsE,1.5Fin,4,4,1933.731911,1954.841235,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Fa,PConc,Gd,TA,No,BLQ,381.051958,Rec,0,551.3845331,873.4136113,Grav,Fa,N,FuseA,351.0808942,270.143429,6.241453593,600.9350691,1,0,1,0,2,1,Fa,5,Typ,0,Gd,Detchd,1944.475668,Unf,1,188.0967168,TA,Po,Y,0,0,43.49028779,7.098330868,0,0,,MnPrv,Shed,0,7,2010,WD,Normal,88304.00501
60,RL,71.10159877,14600.75377,Pave,,Reg,Lvl,AllPub,Inside,Sev,BrkSide,Norm,Norm,1Fam,1Story,5,6,1956.751509,1991.476021,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,669.9214781,Ex,TA,CBlock,TA,TA,No,Rec,924.924828,Unf,0,353.8937514,1655.272252,Wall,Gd,Y,SBrkr,1381.091102,0,0,1030.058167,0,1,1,0,3,1,Ex,5,Typ,1,TA,Attchd,1972.625147,Fin,2,469.4352183,Gd,TA,Y,1.746389005,0,0,11.81859282,0,34.91871218,,,,0,10,2009,WD,Normal,202448.0836
20,RL,88.08640577,13579.42848,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Artery,Norm,1Fam,2.5Fin,9,5,2004.02768,2012.83891,Gable,CompShg,VinylSd,VinylSd,None,0,Ex,Ex,PConc,Ex,TA,Gd,GLQ,1332.068057,Unf,0,607.5845,1854.039998,GasA,TA,Y,SBrkr,1888.605411,0,0,2363.572193,1,0,2,0,3,1,Ex,8,Typ,3,Ex,Attchd,2012.777796,Fin,3,641.4373157,Fa,TA,Y,235.0814524,216.3244952,0,16.08880118,0,34.78531279,,MnWw,,0,11,2006,WD,Normal,397356.8984
20,RL,57.76620643,6463.02746,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,RRAe,RRAe,1Fam,1Story,6,6,1950.43077,2008.319522,Gable,CompShg,VinylSd,VinylSd,BrkCmn,0,TA,Gd,CBlock,TA,TA,No,ALQ,864.5307905,Unf,57.79444842,452.3187673,1130.438024,GasA,Ex,N,SBrkr,788.829266,246.5426344,0,866.1582967,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1938.433622,Unf,1,68.57600462,TA,TA,Y,81.65227002,0,10.08621606,7.458552737,0,14.97919275,,GdWo,,125.4483875,5,2009,WD,Normal,163934.2348
30,RM,61.42188059,5900,Grvl,,IR1,Bnk,AllPub,Inside,Gtl,Blueste,Norm,Norm,1Fam,1Story,4,7,1953.086132,1957.974596,Gable,CompShg,Wd Sdng,MetalSd,None,51.68994803,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1217.268539,565.3820094,GasA,TA,Y,FuseA,861.9204453,470.6842929,0,1311.43932,0,0,1,0,2,1,Fa,4,Typ,0,,,,,0,0,,,Y,41.56215917,0,0,12.16540015,0,5.622077331,,,,0,8,2006,WD,Normal,90116.63687
60,RL,79.11025251,15419.77395,Pave,,Reg,Bnk,NoSeWa,CulDSac,Sev,SawyerW,Norm,Norm,Duplex,2Story,7,5,2003.673543,1989.323675,Hip,CompShg,ImStucc,BrkFace,BrkFace,201.5462194,TA,TA,PConc,Gd,TA,No,GLQ,1278.323924,ALQ,5.89853182,390,1790.746373,GasA,Fa,Y,SBrkr,1341.966313,1222.717954,6.030650929,2421.908547,1,0,2,1,4,1,Gd,10,Typ,1,Ex,Basment,1972.996322,Unf,2,752.5034196,TA,TA,Y,150.7953023,108.8846348,10.0582691,0,51.80383938,31.74817154,,,,0,5,2008,WD,Partial,243980.5233
50,FV,62.34372556,13515.20479,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,SLvl,4,7,1920.678259,1995.920583,Gable,CompShg,MetalSd,HdBoard,None,4.681862474,TA,TA,CBlock,Fa,TA,No,Unf,153.2878789,LwQ,97.48061846,231.6214117,708.1790828,GasA,Gd,N,SBrkr,545.3851892,310.9260622,0.101391269,1619.658673,0,0,1,1,2,1,TA,6,Min2,0,,Detchd,1956.870952,Unf,1,328.1801385,Po,TA,N,311.4724278,0.638691353,0,0,0,12.21933633,,GdWo,,262.7545342,5,2007,WD,Normal,133160.8272
85,RL,54.3859612,9571.456602,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1964.127784,2006.522527,Shed,CompShg,Wd Sdng,Wd Sdng,None,69.01137012,Fa,TA,CBlock,TA,TA,No,GLQ,144.9139503,Unf,57.04478298,428.7765818,994.0554566,GasA,TA,Y,SBrkr,959.765909,644.9451043,6.977367619,1596.565872,0,0,1,1,3,1,TA,8,Min2,1,Ex,Attchd,1949.970955,RFn,1,374.8651267,TA,,Y,13.56035657,0,95.93835281,0,155.8281967,18.18537547,Gd,,,0,1,2009,Oth,Normal,93508.32541
